benefit_to_harm_ratio,benefit_to_harm_ratio_infinite,cohort,effective_valid_lift_retention_rate,exact_dem_group_count,false_corridor_correction_count,false_corridor_correction_rate,finite_pair_count,gross_benefit_j,gross_harm_j,group_macro_mean_delta_j,hard_benefit_count,hard_harm_count,maximum_finite_benefit_j,mean_delta_j,mean_delta_percent,median_delta_j,method_id,net_benefit_j,numeric_gate_failure_count,numeric_gate_pass_count,reference_false_corridor_count,reference_valid_route_abandonment_count,reference_valid_route_abandonment_rate,reference_valid_route_count,route_change_count,task_count,valid_lift_abandonment_count,valid_lift_abandonment_rate,valid_lift_opportunity_count,worst_finite_harm_j
0.7343833608289223,False,all,0.6976744186046512,161,52,1.0,454,933178.5160185562,1270696.7039193907,378.493593344466,8,43,78262.72957831757,-743.4321319401638,-1.210694271706829,0.0,hard_warning,-337518.1879008345,0,608,52,145,0.35714285714285715,406,244,608,39,0.3023255813953488,129,76477.97548177773
9.818722399518299,False,all,0.9767441860465116,161,29,0.5576923076923077,486,617709.3739304785,62911.3797901836,1484.8172599700567,5,11,78262.72957831757,1141.5596587248867,1.4645185561578202,0.0,continuous_attenuation,554797.9941402948,0,608,52,21,0.05172413793103448,406,71,608,3,0.023255813953488372,129,15116.507628962936
2.0309084646897593,False,all,0.9844961240310077,161,7,0.1346153846153846,496,95967.60101518214,47253.53342295617,138.81626090573874,0,1,29482.78187357598,98.21384595206848,0.059703318699442294,0.0,s_only,48714.06759222597,0,608,52,6,0.014778325123152709,406,14,608,2,0.015503875968992248,129,15116.507628962936
2.3503563053567507,False,all,0.9612403100775194,161,26,0.5,470,565778.3124472314,240720.23086787015,1765.1415635172868,2,27,78262.72957831757,691.6129395305559,0.6736759941958032,0.0,matched_uniform,325058.0815793612,0,608,52,55,0.1354679802955665,406,106,608,5,0.03875968992248062,129,23915.94507012848
0.7045893488810144,False,challenge,0.6091954022988506,79,52,1.0,226,779557.876829263,1106400.3139804895,626.0627899436722,8,32,78262.72957831757,-1446.20547412047,-2.190170841369842,0.0,hard_warning,-326842.43715122645,0,288,52,123,0.5970873786407767,206,203,288,34,0.39080459770114945,87,76477.97548177773
8.815845984792569,False,challenge,0.9655172413793104,79,29,0.5576923076923077,248,546587.4015043569,62000.56153966688,3154.971977127754,4,10,78262.72957831757,1953.9791934060083,2.4881193178048524,0.0,continuous_attenuation,484586.83996469,0,288,52,19,0.09223300970873786,206,60,288,3,0.034482758620689655,87,15116.507628962936
2.0300227243846747,False,challenge,0.9770114942528736,79,7,0.1346153846153846,257,95925.74665607176,47253.53342295617,426.53248927467257,0,1,29482.78187357598,189.38604370862097,0.11506948765697796,0.0,s_only,48672.21323311559,0,288,52,6,0.02912621359223301,206,13,288,2,0.022988505747126436,87,15116.507628962936
2.083460339342086,False,challenge,0.9540229885057472,79,26,0.5,237,446849.1257141294,214474.50535834784,3436.717918961698,2,21,78262.72957831757,980.4836301931709,0.9764801778945488,0.0,matched_uniform,232374.62035578158,0,288,52,46,0.22330097087378642,206,84,288,4,0.04597701149425287,87,23915.94507012848
1.193398769303955,False,population,0.8260869565217391,148,5,1.0,238,318609.1993754596,266976.3096548919,919.242488379521,0,13,78262.72957831757,216.9449147923011,-0.35170623863561373,0.0,hard_warning,51632.88972056768,0,334,5,27,0.13043478260869565,207,53,334,8,0.17391304347826086,46,76477.97548177773
170.45429302045153,False,population,0.9782608695652174,148,2,0.4,249,155252.88096195212,910.8182505167206,1213.4426535093844,1,2,78262.72957831757,619.8476414113871,0.6256060969083883,0.0,continuous_attenuation,154342.0627114354,0,334,5,3,0.014492753623188406,207,15,334,1,0.021739130434782608,46,910.8182505167206
,True,population,1.0,148,0,0.0,251,41.854359110380756,0.0,0.35469795856254877,0,0,41.854359110380756,0.16675043470271217,0.00015931373338663808,0.0,s_only,41.854359110380756,0,334,5,0,0.0,207,1,334,0,0.0,46,-0.0
10.81767569413386,False,population,0.9565217391304348,148,5,1.0,243,283917.7469192686,26245.725509522323,1930.1002282479888,0,8,78262.72957831757,1060.3786889289972,0.8525911403928934,0.0,matched_uniform,257672.02140974632,0,334,5,11,0.05314009661835749,207,30,334,2,0.043478260869565216,46,16237.20940302193
